Time,Elbow,Knee,Spine
1,0,0,0
2,174.761,178.486,172.192
3,177.439,179.76,172.211
4,25.279,168.083,177.74
5,43.905,170.389,179.159
6,75.541,82.7,171.253
7,119.049,163.611,178.249
8,129.823,171.53,179.916
9,139.489,172.956,179.79
10,122.546,175.194,177.731
11,136.804,176.201,177.578
12,32.489,176.058,177.291
13,137.83,173.253,179.172
14,143.0,179.7,172.011
15,177.81,178.956,176.174
16,176.155,84.555,87.652
17,161.084,10.322,173.256
18,170.985,178.614,174.812
19,155.842,179.083,172.528
20,51.755,172.971,176.551
21,174.269,177.742,173.657
22,162.092,177.305,178.749
23,24.791,170.617,178.874
24,176.789,170.607,177.253
25,162.44,179.441,173.232
26,179.212,179.798,174.727
27,177.405,177.607,176.978
28,174.606,179.313,176.534
29,174.986,179.593,176.206
30,176.433,178.092,175.411
31,140.992,176.452,174.74
32,124.476,176.092,176.603
33,92.956,176.454,176.786
34,179.313,178.388,177.296
35,177.587,177.635,176.959
36,155.802,179.725,173.979
37,162.592,179.832,175.275
38,165.053,179.372,176.234
39,159.322,178.455,175.833
40,164.972,178.813,175.2
41,179.043,178.45,174.644
42,177.655,177.517,175.861
43,179.295,176.958,174.77
44,174.877,179.599,177.034
45,174.041,178.721,176.358
46,174.214,178.924,176.741
47,172.45,178.766,176.689
48,172.47,178.119,176.581
49,172.859,177.827,176.425
50,178.41,177.376,175.87
51,172.37,164.631,174.472
52,167.658,174.277,171.858
53,121.191,179.653,177.448
54,121.191,179.653,177.448
55,121.191,179.653,177.448
56,121.191,179.653,177.448
57,121.191,179.653,177.448
58,121.191,179.653,177.448
59,121.191,179.653,177.448
60,121.191,179.653,177.448
61,121.191,179.653,177.448
62,121.191,179.653,177.448
63,121.191,179.653,177.448
64,121.191,179.653,177.448
65,121.191,179.653,177.448
66,121.191,179.653,177.448
67,121.191,179.653,177.448
68,121.191,179.653,177.448
69,121.191,179.653,177.448
70,121.191,179.653,177.448
71,121.191,179.653,177.448
72,121.191,179.653,177.448
73,121.191,179.653,177.448
74,121.191,179.653,177.448
75,121.191,179.653,177.448
76,121.191,179.653,177.448
77,121.191,179.653,177.448
78,121.191,179.653,177.448
79,121.191,179.653,177.448
80,121.191,179.653,177.448
81,121.191,179.653,177.448
82,121.191,179.653,177.448
83,121.191,179.653,177.448
84,121.191,179.653,177.448
85,121.191,179.653,177.448
86,121.191,179.653,177.448
87,121.191,179.653,177.448
88,121.191,179.653,177.448
89,121.191,179.653,177.448
90,121.191,179.653,177.448
91,121.191,179.653,177.448
92,121.191,179.653,177.448
93,121.191,179.653,177.448
94,121.191,179.653,177.448
95,121.191,179.653,177.448
96,121.191,179.653,177.448
97,121.191,179.653,177.448
98,121.191,179.653,177.448
99,121.191,179.653,177.448
100,121.191,179.653,177.448
101,121.191,179.653,177.448
102,121.191,179.653,177.448
103,121.191,179.653,177.448
104,121.191,179.653,177.448
105,121.191,179.653,177.448
106,121.191,179.653,177.448
107,121.191,179.653,177.448
108,121.191,179.653,177.448
109,121.191,179.653,177.448
110,121.191,179.653,177.448
111,121.191,179.653,177.448
112,121.191,179.653,177.448
113,121.191,179.653,177.448
114,121.191,179.653,177.448
115,121.191,179.653,177.448
116,121.191,179.653,177.448
117,121.191,179.653,177.448
118,121.191,179.653,177.448
119,121.191,179.653,177.448
120,121.191,179.653,177.448
121,121.191,179.653,177.448
122,121.191,179.653,177.448
123,121.191,179.653,177.448
124,121.191,179.653,177.448
125,121.191,179.653,177.448
126,121.191,179.653,177.448
127,121.191,179.653,177.448
128,121.191,179.653,177.448
129,121.191,179.653,177.448
130,121.191,179.653,177.448
131,121.191,179.653,177.448
132,121.191,179.653,177.448
133,121.191,179.653,177.448
134,121.191,179.653,177.448
135,121.191,179.653,177.448
136,121.191,179.653,177.448
137,121.191,179.653,177.448
138,121.191,179.653,177.448
139,121.191,179.653,177.448
140,121.191,179.653,177.448
141,121.191,179.653,177.448
142,121.191,179.653,177.448
143,121.191,179.653,177.448
144,121.191,179.653,177.448
145,121.191,179.653,177.448
146,121.191,179.653,177.448
147,121.191,179.653,177.448
148,121.191,179.653,177.448
149,121.191,179.653,177.448
150,121.191,179.653,177.448
151,121.191,179.653,177.448
152,121.191,179.653,177.448
153,121.191,179.653,177.448
154,121.191,179.653,177.448
155,121.191,179.653,177.448
156,121.191,179.653,177.448
157,121.191,179.653,177.448
158,121.191,179.653,177.448
159,121.191,179.653,177.448
160,121.191,179.653,177.448
161,121.191,179.653,177.448
162,121.191,179.653,177.448
163,121.191,179.653,177.448
164,121.191,179.653,177.448
165,121.191,179.653,177.448
166,121.191,179.653,177.448
167,121.191,179.653,177.448
168,121.191,179.653,177.448
169,121.191,179.653,177.448
170,121.191,179.653,177.448
171,121.191,179.653,177.448
172,121.191,179.653,177.448
173,121.191,179.653,177.448
174,121.191,179.653,177.448
175,121.191,179.653,177.448
176,121.191,179.653,177.448
177,121.191,179.653,177.448
178,121.191,179.653,177.448
179,121.191,179.653,177.448
180,121.191,179.653,177.448
181,121.191,179.653,177.448
182,121.191,179.653,177.448
183,121.191,179.653,177.448
184,121.191,179.653,177.448
185,121.191,179.653,177.448
186,121.191,179.653,177.448
187,121.191,179.653,177.448
188,121.191,179.653,177.448
189,121.191,179.653,177.448
190,121.191,179.653,177.448
191,121.191,179.653,177.448
192,121.191,179.653,177.448
193,121.191,179.653,177.448
194,121.191,179.653,177.448
195,121.191,179.653,177.448
196,121.191,179.653,177.448
197,121.191,179.653,177.448
198,121.191,179.653,177.448
199,121.191,179.653,177.448
200,121.191,179.653,177.448
201,121.191,179.653,177.448
202,121.191,179.653,177.448
203,121.191,179.653,177.448
204,121.191,179.653,177.448
205,121.191,179.653,177.448
206,121.191,179.653,177.448
207,121.191,179.653,177.448
208,121.191,179.653,177.448
209,121.191,179.653,177.448
210,121.191,179.653,177.448
211,121.191,179.653,177.448
212,121.191,179.653,177.448
213,121.191,179.653,177.448
214,121.191,179.653,177.448
215,121.191,179.653,177.448
216,121.191,179.653,177.448
217,121.191,179.653,177.448
218,121.191,179.653,177.448
219,121.191,179.653,177.448
220,121.191,179.653,177.448
221,121.191,179.653,177.448
222,121.191,179.653,177.448
223,121.191,179.653,177.448
224,121.191,179.653,177.448
225,121.191,179.653,177.448
226,121.191,179.653,177.448
227,121.191,179.653,177.448
228,121.191,179.653,177.448
229,121.191,179.653,177.448
230,121.191,179.653,177.448
231,121.191,179.653,177.448
232,121.191,179.653,177.448
233,121.191,179.653,177.448
234,121.191,179.653,177.448
235,121.191,179.653,177.448
236,121.191,179.653,177.448
237,121.191,179.653,177.448
238,121.191,179.653,177.448
239,121.191,179.653,177.448
240,121.191,179.653,177.448
241,121.191,179.653,177.448
242,121.191,179.653,177.448
243,121.191,179.653,177.448
244,121.191,179.653,177.448
245,121.191,179.653,177.448
246,121.191,179.653,177.448
247,121.191,179.653,177.448
248,121.191,179.653,177.448
249,121.191,179.653,177.448
250,121.191,179.653,177.448
251,121.191,179.653,177.448
252,121.191,179.653,177.448
253,121.191,179.653,177.448
254,121.191,179.653,177.448
255,121.191,179.653,177.448
256,121.191,179.653,177.448
257,121.191,179.653,177.448
258,121.191,179.653,177.448
259,121.191,179.653,177.448
260,121.191,179.653,177.448
261,121.191,179.653,177.448
262,121.191,179.653,177.448
263,121.191,179.653,177.448
264,121.191,179.653,177.448
265,121.191,179.653,177.448
266,121.191,179.653,177.448
267,121.191,179.653,177.448
268,121.191,179.653,177.448
269,121.191,179.653,177.448
270,121.191,179.653,177.448
271,121.191,179.653,177.448
272,121.191,179.653,177.448
273,121.191,179.653,177.448
274,121.191,179.653,177.448
275,121.191,179.653,177.448
276,121.191,179.653,177.448
277,121.191,179.653,177.448
278,121.191,179.653,177.448
279,121.191,179.653,177.448
280,121.191,179.653,177.448
281,121.191,179.653,177.448
282,121.191,179.653,177.448
283,121.191,179.653,177.448
284,121.191,179.653,177.448
285,121.191,179.653,177.448
286,121.191,179.653,177.448
287,121.191,179.653,177.448
288,121.191,179.653,177.448
289,121.191,179.653,177.448
290,121.191,179.653,177.448
291,121.191,179.653,177.448
292,121.191,179.653,177.448
293,121.191,179.653,177.448
294,121.191,179.653,177.448
295,121.191,179.653,177.448
296,121.191,179.653,177.448
297,121.191,179.653,177.448
298,121.191,179.653,177.448
299,121.191,179.653,177.448
300,121.191,179.653,177.448
301,121.191,179.653,177.448
302,121.191,179.653,177.448
303,121.191,179.653,177.448
304,121.191,179.653,177.448
305,121.191,179.653,177.448
306,121.191,179.653,177.448
307,121.191,179.653,177.448
308,121.191,179.653,177.448
309,121.191,179.653,177.448
310,121.191,179.653,177.448
311,121.191,179.653,177.448
312,121.191,179.653,177.448
313,121.191,179.653,177.448
314,121.191,179.653,177.448
315,121.191,179.653,177.448
316,121.191,179.653,177.448
317,121.191,179.653,177.448
318,121.191,179.653,177.448
319,121.191,179.653,177.448
320,121.191,179.653,177.448
321,121.191,179.653,177.448
322,121.191,179.653,177.448
323,121.191,179.653,177.448
324,121.191,179.653,177.448
325,121.191,179.653,177.448
326,121.191,179.653,177.448
327,121.191,179.653,177.448
328,121.191,179.653,177.448
329,121.191,179.653,177.448
330,121.191,179.653,177.448
331,121.191,179.653,177.448
332,121.191,179.653,177.448
333,121.191,179.653,177.448
334,121.191,179.653,177.448
335,121.191,179.653,177.448
336,121.191,179.653,177.448
337,121.191,179.653,177.448
338,121.191,179.653,177.448
339,121.191,179.653,177.448
340,121.191,179.653,177.448
341,121.191,179.653,177.448
342,121.191,179.653,177.448
343,121.191,179.653,177.448
344,121.191,179.653,177.448
345,121.191,179.653,177.448
346,121.191,179.653,177.448
347,121.191,179.653,177.448
348,121.191,179.653,177.448
349,121.191,179.653,177.448
350,121.191,179.653,177.448
351,121.191,179.653,177.448
352,121.191,179.653,177.448
353,121.191,179.653,177.448
354,121.191,179.653,177.448
355,121.191,179.653,177.448
356,121.191,179.653,177.448
357,121.191,179.653,177.448
358,121.191,179.653,177.448
359,121.191,179.653,177.448
360,121.191,179.653,177.448
361,121.191,179.653,177.448
362,121.191,179.653,177.448
363,121.191,179.653,177.448
364,121.191,179.653,177.448
365,121.191,179.653,177.448
366,121.191,179.653,177.448
367,121.191,179.653,177.448
368,121.191,179.653,177.448
369,121.191,179.653,177.448
370,121.191,179.653,177.448
371,121.191,179.653,177.448
372,121.191,179.653,177.448
373,121.191,179.653,177.448
374,121.191,179.653,177.448
375,121.191,179.653,177.448
376,121.191,179.653,177.448
377,121.191,179.653,177.448
378,121.191,179.653,177.448
379,121.191,179.653,177.448
380,121.191,179.653,177.448
381,121.191,179.653,177.448
382,121.191,179.653,177.448
383,121.191,179.653,177.448
384,121.191,179.653,177.448
385,121.191,179.653,177.448
386,121.191,179.653,177.448
387,121.191,179.653,177.448
388,121.191,179.653,177.448
389,121.191,179.653,177.448
390,121.191,179.653,177.448
391,121.191,179.653,177.448
392,121.191,179.653,177.448
393,121.191,179.653,177.448
394,121.191,179.653,177.448
395,121.191,179.653,177.448
396,121.191,179.653,177.448
397,121.191,179.653,177.448
398,121.191,179.653,177.448
399,121.191,179.653,177.448
400,121.191,179.653,177.448
401,121.191,179.653,177.448
402,121.191,179.653,177.448
403,121.191,179.653,177.448
404,121.191,179.653,177.448
405,121.191,179.653,177.448
406,121.191,179.653,177.448
407,121.191,179.653,177.448
408,121.191,179.653,177.448
409,121.191,179.653,177.448
410,121.191,179.653,177.448
411,121.191,179.653,177.448
412,121.191,179.653,177.448
413,121.191,179.653,177.448
414,121.191,179.653,177.448
415,121.191,179.653,177.448
416,121.191,179.653,177.448
417,121.191,179.653,177.448
418,121.191,179.653,177.448
419,121.191,179.653,177.448
420,121.191,179.653,177.448
421,121.191,179.653,177.448
422,121.191,179.653,177.448
423,121.191,179.653,177.448
424,121.191,179.653,177.448
425,121.191,179.653,177.448
426,121.191,179.653,177.448
427,121.191,179.653,177.448
428,121.191,179.653,177.448
429,121.191,179.653,177.448
430,121.191,179.653,177.448
431,121.191,179.653,177.448
432,121.191,179.653,177.448
433,121.191,179.653,177.448
434,121.191,179.653,177.448
435,121.191,179.653,177.448
436,121.191,179.653,177.448
437,121.191,179.653,177.448
438,121.191,179.653,177.448
439,121.191,179.653,177.448
440,121.191,179.653,177.448
441,121.191,179.653,177.448
442,121.191,179.653,177.448
443,121.191,179.653,177.448
444,121.191,179.653,177.448
445,121.191,179.653,177.448
446,121.191,179.653,177.448
447,121.191,179.653,177.448
448,121.191,179.653,177.448
449,121.191,179.653,177.448
450,121.191,179.653,177.448
451,121.191,179.653,177.448
452,121.191,179.653,177.448
453,121.191,179.653,177.448
454,121.191,179.653,177.448
455,121.191,179.653,177.448
456,121.191,179.653,177.448
457,121.191,179.653,177.448
458,121.191,179.653,177.448
459,121.191,179.653,177.448
460,121.191,179.653,177.448
461,121.191,179.653,177.448
462,121.191,179.653,177.448
463,121.191,179.653,177.448
464,121.191,179.653,177.448
465,121.191,179.653,177.448
466,121.191,179.653,177.448
467,121.191,179.653,177.448
468,121.191,179.653,177.448
469,121.191,179.653,177.448
470,121.191,179.653,177.448
471,121.191,179.653,177.448
472,121.191,179.653,177.448
473,121.191,179.653,177.448
