Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,8.019999999999996,75.39999999999999
4,0,3.7349999999999994,78.56249999999999
5,0,13.354999999999995,96.86250000000001
6,0,0,57.74000000000001
7,0,16.092499999999994,72.6725
8,0,4.917499999999997,81.83
9,0,8.904999999999994,78.85999999999999
10,76.44749999999998,0,55.775
11,54.477499999999985,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,10.899999999999999,73.20750000000001
16,0,1.009999999999991,56.55999999999999
17,0,0,49.914999999999985
18,0,0,53.83
19,0,0,45.29
20,0,0,34.145
21,0,0,52.59499999999999
22,0,4.697500000000012,70.53249999999998
23,0,0,66.51
24,0,26.179999999999986,58.054999999999986
25,0,39.61500000000001,55.855
26,0,29.400000000000013,39.02999999999999
27,0,25.24750000000001,37.749999999999986
28,0,26.41500000000001,40.74249999999999
29,0,32.714999999999996,49.437500000000014
30,0,32.95000000000002,44.6875
31,0,0,0
32,0,48.45500000000001,12.979999999999984
33,0,49.955,9.09749999999999
34,0,52.31999999999999,11.209999999999987
35,0,46.8075,3.542500000000004
36,0,46.072500000000005,1.9650000000000034
37,0,35.53750000000001,0
38,64.4,38.942499999999995,0
39,0,47.292500000000004,0
40,0,48.004999999999995,0
41,0,29.865,0
42,0,48.60499999999998,0
43,0,32.10000000000001,55.7975
44,0,45.74249999999999,73.93499999999999
45,0,47.7525,74.86999999999998
46,0,49.96749999999999,94.86
47,0,50.5575,96.89750000000001
48,23.767500000000013,52.45000000000001,74.7125
49,0,51.269999999999996,41.335000000000015
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,15.742499999999993
54,99.115,0,0
