Time,Elbow,Knee,Spine
1,172.436,179.445,170.247
2,173.233,178.457,172.686
3,173.646,178.236,173.561
4,174.342,178.733,173.185
5,175.149,178.423,173.465
6,176.99,178.284,173.744
7,177.328,178.488,173.462
8,177.774,177.926,174.128
9,177.646,178.052,173.799
10,177.497,177.945,175.343
11,175.372,178.429,173.436
12,176.957,178.328,173.911
13,178.271,177.672,173.995
14,178.763,176.996,174.971
15,176.95,178.395,174.241
16,176.126,179.098,174.845
17,177.865,179.663,174.24
18,175.528,178.53,173.912
19,23.519,140.825,134.979
20,167.648,178.217,177.089
21,176.407,177.894,175.546
22,115.602,179.698,174.039
23,68.387,179.734,167.505
24,129.815,174.033,170.075
25,178.656,175.59,177.215
26,179.235,176.613,176.077
27,178.416,176.37,175.283
28,176.926,176.925,174.382
29,178.066,176.516,174.675
30,179.959,176.564,174.655
31,179.196,177.376,174.179
32,179.459,177.228,173.675
33,179.593,177.809,174.15
34,176.0,178.613,174.479
35,175.086,178.493,173.645
36,175.678,178.405,173.264
37,173.535,179.399,173.81
38,171.509,177.551,174.793
39,174.587,179.51,173.104
40,173.072,179.186,172.891
41,173.971,178.873,173.645
42,173.525,176.818,174.585
43,175.325,176.8,174.735
44,30.251,179.916,176.037
45,175.914,176.519,174.085
46,175.121,176.589,173.954
47,172.558,176.763,174.879
48,176.606,176.71,174.69
49,175.79,176.513,174.941
50,175.233,176.869,174.173
