Time,Elbow,Knee,Spine
1,0,62.70250000000001,99.67749999999998
2,0,54.30749999999999,0
3,0,52.74000000000001,93.5575
4,0,70.84499999999998,0
5,0,0,99.5925
6,0,0,93.24000000000002
7,0,96.46249999999999,0
8,16.424999999999983,60.60749999999998,0
9,0,80.48249999999999,0
10,0,73.085,0
11,57.117499999999986,77.7825,0
12,0,66.5275,0
13,0,82.2825,93.21249999999999
14,0,59.92750000000001,56.81000000000002
15,85.99,66.97500000000001,88.4625
16,0,71.00249999999998,98.11499999999998
17,0,78.29,0
18,89.18749999999999,66.8375,98.17
19,90.64750000000001,74.1,0
20,0,0,85.48749999999998
21,0,0,55.107500000000016
22,0,0,69.83000000000001
23,0,0,0
24,0,95.9775,0
