Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,26.2725,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,51.78499999999999,68.79
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,40.38,72.9075
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,11.167499999999997,0.8974999999999866,30.485000000000007
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,87.015
51,0,32.45000000000001,38.80749999999999
52,0,0,0
53,3.4550000000000125,0,96.08250000000001
54,83.40499999999999,7.352500000000006,80.2825
55,0,24.00500000000001,80.01750000000001
56,0,31.765000000000008,99.32749999999999
57,0,12.300000000000004,86.0725
58,0,30.824999999999996,93.705
59,0,5.315000000000012,86.48499999999999
60,0,0,85.13000000000002
61,0,1.1100000000000065,88.9225
62,64.96,43.61249999999998,91.5025
63,0,35.2525,95.4075
64,0,30.267499999999995,98.205
65,0,16.5625,96.84
66,0,16.47500000000001,99.27499999999999
67,0,10.492500000000007,97.075
68,0,5.35499999999999,99.7225
69,0,0,91.345
70,74.97,12.064999999999984,95.31749999999998
71,96.21,0,0
72,0,18.597499999999982,7.650000000000006
73,0,0,0
74,0,0,4.157499999999992
75,96.23249999999999,48.67750000000001,70.2525
76,92.8325,37.515,77.29500000000002
77,96.0925,40.9075,82.44
78,95.1325,47.15250000000001,82.25750000000002
79,89.9625,27.510000000000012,79.6275
80,88.93,13.112500000000011,80.79499999999999
81,95.3475,28.580000000000005,84.93749999999999
82,0,31.62500000000001,88.06249999999999
83,99.05000000000001,38.415,87.48
84,0,0,0
85,0,54.36499999999999,88.085
86,25.7,13.502499999999992,62.25999999999999
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,14.652500000000009
91,18.307499999999983,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
