Time,Elbow,Knee,Spine
1,157.338,137.099,139.948
2,150.441,156.092,149.223
3,158.307,145.498,154.366
4,150.93,159.386,160.216
5,141.147,127.842,127.296
6,80.82,69.208,80.997
7,153.821,112.511,120.594
8,158.213,142.092,142.181
9,144.022,105.885,115.97
10,179.405,161.99,152.971
11,142.937,30.863,144.348
12,143.084,159.665,170.118
13,118.264,178.419,179.265
14,79.424,153.814,161.587
15,126.196,126.98,130.049
16,124.646,77.887,110.866
17,116.286,83.503,103.774
18,113.504,110.199,118.931
19,134.808,156.063,168.067
20,130.905,162.32,172.377
21,127.322,73.4,71.505
22,113.92,165.141,175.141
23,126.175,155.114,162.233
24,56.784,146.099,155.753
25,39.403,160.352,168.593
26,41.839,168.513,172.578
27,33.63,164.377,169.623
28,49.06,165.645,169.265
29,38.211,157.565,168.294
30,34.006,161.179,172.698
31,39.755,163.439,173.236
32,38.259,162.998,171.528
33,42.287,168.703,177.612
34,101.433,61.026,101.796
35,131.957,108.041,102.599
36,112.431,98.858,104.264
37,117.603,50.891,96.167
38,118.791,69.963,101.529
39,119.856,77.087,104.961
40,121.645,67.015,98.732
41,123.578,62.822,99.502
42,115.811,103.991,116.349
43,113.538,155.573,167.213
44,162.629,155.692,165.527
45,160.919,155.166,166.113
46,158.485,160.247,170.592
47,159.618,164.729,174.496
48,159.577,167.645,178.927
49,163.839,156.087,169.129
50,161.405,138.842,156.879
51,162.364,137.573,156.268
52,163.006,163.111,173.472
53,178.874,132.725,149.445
54,156.46,174.801,170.106
55,176.082,166.759,151.76
56,173.73,61.233,100.721
57,60.869,177.767,109.079
58,25.255,72.14,81.878
59,25.255,72.14,81.878
60,25.255,72.14,81.878
61,25.255,72.14,81.878
62,25.255,72.14,81.878
63,25.255,72.14,81.878
64,25.255,72.14,81.878
65,25.255,72.14,81.878
66,25.255,72.14,81.878
67,25.255,72.14,81.878
68,25.255,72.14,81.878
69,25.255,72.14,81.878
70,25.255,72.14,81.878
71,25.255,72.14,81.878
72,25.255,72.14,81.878
73,25.255,72.14,81.878
74,25.255,72.14,81.878
75,25.255,72.14,81.878
76,25.255,72.14,81.878
77,25.255,72.14,81.878
78,25.255,72.14,81.878
79,25.255,72.14,81.878
80,25.255,72.14,81.878
