Time,Elbow,Knee,Spine
0,0,0,0
1,2,1,77
2,89,31,26
3,13,92,23
4,54,70,33
5,65,13,78
6,99,84,41
7,27,27,24
8,72,29,98
9,7,97,37
10,23,70,37
11,41,74,70
12,57,59,64
13,56,75,38
14,42,34,53
15,55,85,88
16,30,85,99
17,15,85,26
18,54,96,96
19,93,54,46
20,64,90,35
21,22,23,84
22,32,67,51
23,7,57,55
24,36,57,19
25,60,3,59
26,96,61,47
27,82,26,45
28,39,0,36
29,64,44,46
30,93,91,96
31,77,83,80
32,79,12,79
33,49,98,100
34,90,60,87
35,5,82,5
36,41,95,33
37,99,48,97
38,49,99,9
39,13,20,55
40,92,98,65
41,7,30,11
42,40,56,92
43,55,59,64
44,81,68,92
45,68,33,62
46,19,75,93
47,90,86,3
48,4,13,86
49,34,100,93
50,40,12,88
51,83,5,81
52,26,36,2
53,19,67,71
54,80,83,86
55,46,27,80
56,66,70,12
57,48,60,19
58,41,23,92
59,85,53,7
60,44,0,27
61,68,30,1
62,5,27,66
63,50,16,91
64,92,88,79
65,99,14,6
66,77,64,68
67,86,53,15
68,39,35,95
69,35,4,38
70,35,57,54
71,3,52,18
72,33,49,55
73,17,30,94
74,42,45,33
75,12,47,5
76,10,24,31
77,87,71,11
78,81,15,31
79,70,56,13
80,66,56,43
81,85,71,36
82,34,90,26
83,92,55,29
84,71,26,46
85,3,29,21
86,6,30,52
87,60,20,60
88,57,54,13
89,9,37,40
90,45,14,60
91,3,19,54
92,23,89,50
93,91,22,12
94,17,21,4
95,84,74,13
96,47,31,67
97,40,44,67
98,65,66,43
99,31,28,95
100,24,34,40
101,18,2,41
102,95,80,55
103,4,31,88
104,34,26,30
105,82,62,47
106,10,59,9
107,39,2,60
108,3,1,97
109,9,68,57
110,28,3,95
111,27,10,62
112,67,83,37
113,24,61,25
114,65,45,29
115,20,94,83
116,60,90,67
117,69,37,39
118,10,88,15
119,69,89,61
